name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Conaz,Ketozol,0.4464,0.1429,0.7500,
Diflu,Trilock,0.4464,0.1429,0.7500,
Disopan,Tamen,0.4464,0.1429,0.7500,
Aceta,Bacaid,0.4444,0.3333,0.5556,
Amodis,M-Kast,0.4444,0.1667,0.7222,
Amodis,Metro,0.4444,0.1667,0.7222,
Bacaid,M-Kast,0.4444,0.1667,0.7222,
Conaz,Dancel,0.4444,0.1667,0.7222,
Conaz,M-Kast,0.4444,0.1667,0.7222,
Dancel,Monas,0.4444,0.1667,0.7222,
Diflu,Filmet,0.4444,0.1667,0.7222,
Diflu,Flugal,0.4444,0.1667,0.7222,
Fexo,Maxima,0.4444,0.1667,0.7222,
Flamyd,Lumona,0.4444,0.1667,0.7222,
Cetisoft,Metro,0.4431,0.3750,0.5111,
Atrizin,Denixil,0.4429,0.2857,0.6000,
Atrizin,Omastin,0.4429,0.2857,0.6000,
Maxpro,Omastin,0.4429,0.2857,0.6000,
Montex,Omastin,0.4429,0.2857,0.6000,
Amodis,Tridosil,0.4417,0.2500,0.6333,
Backtone,Omastin,0.4417,0.2500,0.6333,
Baclofen,Canazole,0.4417,0.2500,0.6333,
Baclofen,Ketocon,0.4417,0.2500,0.6333,
Baclon,Candinil,0.4417,0.2500,0.6333,
Canazole,Maxpro,0.4417,0.2500,0.6333,
Candinil,Etizin,0.4417,0.2500,0.6333,
Candinil,Fixal,0.4417,0.2500,0.6333,
Candinil,Metsina,0.4417,0.2500,0.6333,
Candinil,Montair,0.4417,0.2500,0.6333,
Cetisoft,M-Kast,0.4417,0.2500,0.6333,
Esoral,Tridosil,0.4417,0.2500,0.6333,
Etizin,Tridosil,0.4417,0.2500,0.6333,
Fixal,Rivotril,0.4417,0.2500,0.6333,
Fixal,Tridosil,0.4417,0.2500,0.6333,
Ketozol,Rivotril,0.4417,0.2500,0.6333,
Montair,Rivotril,0.4417,0.2500,0.6333,
Nidazyl,Rivotril,0.4417,0.2500,0.6333,
Nizoder,Rivotril,0.4417,0.2500,0.6333,
Progut,Tridosil,0.4417,0.2500,0.6333,
Romycin,Tridosil,0.4417,0.2500,0.6333,
Exium,Napa Extend,0.4381,0.1818,0.6944,
M-Kast,Napa Extend,0.4381,0.1818,0.6944,
Napa Extend,Progut,0.4381,0.1818,0.6944,
Denixil,Montex,0.4381,0.1429,0.7333,
Denixil,Nexcap,0.4381,0.1429,0.7333,
Dinafex,Esonix,0.4381,0.1429,0.7333,
Backtone,Canazole,0.4375,0.3750,0.5000,
Fexofast,Monas,0.4375,0.3750,0.5000,
Fexofast,Renova,0.4375,0.3750,0.5000,
Azithrocin,Ketocon,0.4361,0.4000,0.4722,
Disopan,Napa,0.4345,0.2857,0.5833,
Fenadin,Napa,0.4345,0.2857,0.5833,
Montair,Napa,0.4345,0.2857,0.5833,
Napa,Nidazyl,0.4345,0.2857,0.5833,
Ritch,Romycin,0.4345,0.2857,0.5833,
Aceta,Azithrocin,0.4333,0.2000,0.6667,
Fixal,Nexum,0.4333,0.2000,0.6667,
Beklo,Ketoral,0.4325,0.1429,0.7222,
Bicozin,Fexo,0.4325,0.1429,0.7222,
Conaz,Nizoder,0.4325,0.1429,0.7222,
Diflu,Nidazyl,0.4325,0.1429,0.7222,
Lumona,Montene,0.4325,0.1429,0.7222,
Lumona,Romycin,0.4325,0.1429,0.7222,
Metro,Trilock,0.4325,0.1429,0.7222,
Monas,Nidazyl,0.4325,0.1429,0.7222,
Monas,Nizoder,0.4325,0.1429,0.7222,
Monas,Romycin,0.4325,0.1429,0.7222,
Montair,Tamen,0.4325,0.1429,0.7222,
Aceta,Dancel,0.4306,0.3333,0.5278,
Aceta,Maxima,0.4306,0.3333,0.5278,
Baclon,Tamen,0.4306,0.3333,0.5278,
Conaz,Esoral,0.4306,0.3333,0.5278,
Esoral,Monas,0.4306,0.3333,0.5278,
Filmet,Tamen,0.4306,0.3333,0.5278,
Flamyd,Tamen,0.4306,0.3333,0.5278,
Leptic,Metro,0.4306,0.3333,0.5278,
Lumona,Opton,0.4306,0.3333,0.5278,
M-Kast,Vifas,0.4306,0.3333,0.5278,
Progut,Rozith,0.4306,0.3333,0.5278,
Exium,Fexofast,0.4306,0.2500,0.6111,
Fexofast,Filmet,0.4306,0.2500,0.6111,
Fexofast,Flugal,0.4306,0.2500,0.6111,
Fexofast,Ketozol,0.4306,0.2500,0.6111,
Fexofast,Maxima,0.4306,0.2500,0.6111,
Fexofast,Nexum,0.4306,0.2500,0.6111,
Fexofast,Progut,0.4306,0.2500,0.6111,
Flamyd,Flexibac,0.4306,0.2500,0.6111,
Flexibac,Ketotab,0.4306,0.2500,0.6111,
Flexibac,Nexum,0.4306,0.2500,0.6111,
Alatrol,Canazole,0.4292,0.3750,0.4833,
Bicozin,Tridosil,0.4292,0.3750,0.4833,
Cetisoft,Ketocon,0.4292,0.3750,0.4833,
Rivotril,Zithrin,0.4292,0.3750,0.4833,
Conaz,Esonix,0.4278,0.3333,0.5222,
Esonix,Monas,0.4278,0.3333,0.5222,
Axodin,Azyth,0.4278,0.1667,0.6889,
Axodin,Bacaid,0.4278,0.1667,0.6889,
Axodin,Conaz,0.4278,0.1667,0.6889,
Axodin,Fexo,0.4278,0.1667,0.6889,
Bacmax,Beklo,0.4278,0.1667,0.6889,
Lumona,Montex,0.4278,0.1667,0.6889,
Maxpro,Monas,0.4278,0.1667,0.6889,
Monas,Nexcap,0.4278,0.1667,0.6889,
Montex,Tamen,0.4278,0.1667,0.6889,
Dinafex,Napa,0.4262,0.2857,0.5667,
Alatrol,Candinil,0.4250,0.2500,0.6000,
Candinil,Omastin,0.4250,0.2500,0.6000,
Candinil,Rivotril,0.4250,0.2500,0.6000,
Cetisoft,Denixil,0.4250,0.2500,0.6000,
Telfast,Tridosil,0.4250,0.2500,0.6000,
Beklo,Canazole,0.4236,0.1250,0.7222,
Canazole,Fexo,0.4236,0.1250,0.7222,
Canazole,Nexum,0.4236,0.1250,0.7222,
Esoral,Fexofast,0.4236,0.3750,0.4722,
Fexofast,Ketoral,0.4236,0.3750,0.4722,
Fexofast,Ketotab,0.4236,0.3750,0.4722,
Canazole,Napa Extend,0.4234,0.2727,0.5741,
Filmet,Flexilax,0.4226,0.2500,0.5952,
Flamyd,Flexilax,0.4226,0.2500,0.5952,
Flexilax,Leptic,0.4226,0.2500,0.5952,
Flexilax,Nexum,0.4226,0.2500,0.5952,
Bacmax,Tamen,0.4222,0.3333,0.5111,
Conaz,Montex,0.4222,0.3333,0.5111,
Aceta,Metsina,0.4206,0.2857,0.5556,
Esonix,Fexofast,0.4194,0.2500,0.5889,
Ace,Canazole,0.4167,0.2500,0.5833,
Baclon,Odmon,0.4167,0.3333,0.5000,
Baclon,Opton,0.4167,0.3333,0.5000,
Canazole,Napa,0.4167,0.2500,0.5833,
Dancel,Sergel,0.4167,0.3333,0.5000,
Esoral,Flugal,0.4167,0.3333,0.5000,
Etizin,Rhinil,0.4167,0.3333,0.5000,
Filmet,Fixal,0.4167,0.3333,0.5000,
Fixal,Rhinil,0.4167,0.3333,0.5000,
Flugal,Sergel,0.4167,0.3333,0.5000,
Ketoral,Trilock,0.4167,0.0000,0.8333,
Amodis,Etizin,0.4167,0.1667,0.6667,
Amodis,Flamyd,0.4167,0.1667,0.6667,
Amodis,Maxima,0.4167,0.1667,0.6667,
Dancel,Esoral,0.4167,0.1667,0.6667,
